Gender,OWN_CAR,OWN_REALTY,CNT_CHILDREN,ANN_INC,INC_CAT,EDU_LVL,STATUS,LIVING,OCCUPATION_TYPE,FAM_CNT,Age,Experience,target
F,N,N,0,157500.0,Working,Incomplete higher,Married,House / apartment,Accountants,2,46,7,0
M,Y,N,2,180000.0,Working,Incomplete higher,Married,House / apartment,Accountants,4,34,5,0
M,Y,N,1,112500.0,Working,Secondary / secondary special,Separated,Co-op apartment,Accountants,2,32,3,0
M,Y,N,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,42,2,0
F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,42,4,0
F,N,N,0,198000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,51,26,0
M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,41,8,0
F,Y,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,46,2,0
F,N,N,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,32,1,0
F,N,N,0,45000.0,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,39,2,0
F,Y,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,47,2,0
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,36,7,0
F,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,35,10,0
F,N,N,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,33,2,0
M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,52,0,0
F,N,N,0,238500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,52,9,0
F,N,N,0,238500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,52,9,1
F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,27,5,0
M,Y,N,1,144000.0,Working,Incomplete higher,Married,House / apartment,Accountants,3,27,0,0
M,N,N,0,117000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,40,10,0
F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,43,1,0
M,Y,N,0,1350000.0,Commercial associate,Higher education,Married,Municipal apartment,Accountants,2,35,4,0
F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,Accountants,2,31,0,0
F,Y,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,With parents,Accountants,2,30,1,0
F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,Accountants,2,27,6,0
M,Y,N,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,36,3,0
F,Y,N,0,270000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,52,20,0
F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,40,12,0
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,33,6,0
M,Y,N,0,270000.0,Working,Higher education,Single / not married,House / apartment,Accountants,1,24,4,0
M,N,N,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,38,8,0
M,Y,N,2,445500.0,State servant,Higher education,Married,Municipal apartment,Accountants,4,40,18,0
F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,32,8,0
F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,40,14,0
F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,43,1,0
M,Y,N,0,166500.0,Working,Higher education,Married,With parents,Accountants,2,28,4,0
F,N,N,0,135000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,35,15,0
M,Y,N,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,34,1,0
F,N,N,0,81000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,Accountants,1,49,4,0
M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,43,0,0
M,N,N,0,225000.0,Commercial associate,Higher education,Civil marriage,House / apartment,Accountants,2,33,1,0
F,N,N,0,99000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,27,1,0
M,Y,N,0,360000.0,Commercial associate,Secondary / secondary special,Separated,With parents,Accountants,1,28,1,0
M,Y,N,0,225000.0,Working,Higher education,Civil marriage,Rented apartment,Accountants,2,39,3,0
M,Y,N,2,427500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,4,41,17,0
F,N,Y,2,157500.0,State servant,Higher education,Married,House / apartment,Accountants,4,42,3,0
F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,Accountants,4,26,5,0
M,Y,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,36,3,0
F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,Accountants,3,32,6,0
F,Y,Y,2,90000.0,State servant,Higher education,Married,House / apartment,Accountants,4,30,1,0
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,52,10,0
F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,1,0
M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,Accountants,2,54,20,0
F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,29,6,0
F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,29,6,1
F,Y,Y,2,90000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,4,34,12,0
F,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,56,10,0
M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,Office apartment,Accountants,4,40,6,0
F,N,Y,0,135000.0,Working,Incomplete higher,Married,House / apartment,Accountants,2,46,10,0
M,Y,Y,1,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,38,1,0
F,Y,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,33,7,0
F,N,Y,2,157500.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,4,33,5,0
F,N,Y,1,112500.0,State servant,Incomplete higher,Civil marriage,House / apartment,Accountants,3,29,9,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,56,6,0
F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,59,23,0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,50,8,0
M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,46,6,0
F,N,Y,0,360000.0,Working,Secondary / secondary special,Widow,House / apartment,Accountants,1,50,21,0
F,N,Y,0,279000.0,State servant,Higher education,Single / not married,House / apartment,Accountants,1,30,1,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,45,9,0
M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,Municipal apartment,Accountants,4,34,3,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,57,0,0
F,Y,Y,0,112500.0,Working,Incomplete higher,Single / not married,With parents,Accountants,1,22,2,0
F,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,28,4,0
F,Y,Y,2,306000.0,State servant,Higher education,Married,House / apartment,Accountants,4,37,10,0
F,N,Y,1,67500.0,State servant,Secondary / secondary special,Married,Municipal apartment,Accountants,3,42,5,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,38,2,0
F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,35,5,0
F,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,34,15,0
M,Y,Y,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,60,4,0
F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,50,5,0
F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,58,1,0
M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,24,2,0
M,N,N,1,247500.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,2,46,18,0
F,N,Y,0,76500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,42,13,0
M,N,Y,0,360000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,49,3,0
M,Y,Y,0,135000.0,Working,Lower secondary,Married,With parents,Accountants,2,27,5,0
F,N,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,37,10,0
F,Y,Y,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,3,48,22,0
M,Y,Y,0,315000.0,Commercial associate,Incomplete higher,Married,House / apartment,Accountants,2,59,5,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,45,11,0
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,55,2,0
F,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,54,22,0
F,Y,Y,1,67500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,40,9,0
F,N,Y,0,99000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,27,3,0
F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,40,5,0
F,Y,Y,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,41,5,0
M,N,N,0,135000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,26,0,0
F,N,Y,0,328500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,54,5,0
F,N,N,0,126000.0,Working,Secondary / secondary special,Single / not married,With parents,Accountants,1,22,2,0
M,Y,N,1,180000.0,State servant,Incomplete higher,Married,With parents,Accountants,3,29,3,0
F,N,Y,0,310500.0,State servant,Higher education,Single / not married,House / apartment,Accountants,1,36,3,0
F,N,Y,0,126000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,39,20,0
M,Y,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,33,5,0
F,Y,Y,1,157500.0,Working,Higher education,Separated,House / apartment,Accountants,2,26,5,0
F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,37,6,0
F,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,Accountants,3,38,4,0
M,Y,N,1,270000.0,Working,Secondary / secondary special,Separated,House / apartment,Accountants,2,36,8,0
F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,42,0,0
F,Y,N,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,30,0,0
F,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,36,15,0
F,N,Y,0,171000.0,Student,Higher education,Married,House / apartment,Accountants,2,51,10,0
F,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,34,1,0
M,Y,Y,0,675000.0,State servant,Higher education,Married,House / apartment,Accountants,2,32,6,0
F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,Accountants,4,37,12,0
F,N,N,1,90000.0,Working,Secondary / secondary special,Separated,Rented apartment,Accountants,2,38,0,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,47,6,0
F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,37,11,0
M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,27,4,0
M,Y,Y,1,450000.0,Working,Higher education,Married,Office apartment,Accountants,3,50,7,0
M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,58,3,0
F,Y,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,38,8,1
F,Y,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,38,8,0
F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,Accountants,1,49,8,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,43,7,0
F,Y,Y,0,121500.0,Working,Higher education,Married,House / apartment,Accountants,2,27,4,0
M,Y,Y,1,247500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,31,4,0
F,N,N,1,72000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,38,5,0
M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,56,1,0
M,Y,Y,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,46,9,0
F,N,Y,1,247500.0,Commercial associate,Incomplete higher,Married,House / apartment,Accountants,3,29,2,0
F,N,Y,2,90000.0,Working,Higher education,Married,House / apartment,Accountants,4,32,12,0
F,N,Y,0,184500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,50,3,0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,58,3,0
F,Y,Y,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,34,1,0
M,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,24,1,0
M,Y,N,0,180000.0,Working,Higher education,Single / not married,House / apartment,Accountants,1,30,2,0
M,Y,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,36,11,0
M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,47,8,0
F,N,Y,2,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,4,35,1,0
M,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,57,2,0
M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,Accountants,2,28,6,0
M,Y,Y,0,99000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,56,0,0
F,Y,Y,2,292500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,4,38,8,0
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,43,13,0
M,N,Y,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,37,16,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,58,2,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,32,13,0
M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,60,28,0
F,Y,Y,1,112500.0,Working,Higher education,Single / not married,House / apartment,Accountants,2,38,0,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,30,11,0
F,N,Y,0,135000.0,Working,Higher education,Married,With parents,Accountants,2,38,12,0
F,Y,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,39,6,0
M,N,N,0,337500.0,Working,Higher education,Married,House / apartment,Accountants,2,46,12,0
F,N,Y,1,99000.0,Working,Secondary / secondary special,Married,Municipal apartment,Accountants,3,30,7,0
F,N,N,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,38,14,0
F,N,Y,0,270000.0,Working,Secondary / secondary special,Married,Municipal apartment,Accountants,2,42,2,0
F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,Accountants,3,37,1,0
F,N,Y,2,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,4,41,8,0
F,Y,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,35,4,0
M,Y,Y,2,139500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,47,15,0
F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,51,7,0
F,N,Y,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,30,2,0
F,Y,Y,0,157500.0,Working,Higher education,Married,House / apartment,Accountants,2,32,2,0
F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,45,2,0
F,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,38,2,0
M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,49,1,0
M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,49,1,1
F,N,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,27,1,0
M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,62,2,0
F,N,Y,1,360000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,3,28,3,0
M,Y,Y,0,243000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,37,6,0
F,N,N,0,94500.0,Working,Secondary / secondary special,Widow,Rented apartment,Accountants,1,61,2,0
F,N,N,0,94500.0,Working,Secondary / secondary special,Widow,Rented apartment,Accountants,1,61,2,1
F,Y,Y,2,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,4,34,1,0
F,Y,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,37,7,0
M,Y,Y,0,337500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,40,3,0
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,31,2,0
F,N,N,0,256500.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,30,7,0
F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,37,7,0
M,Y,Y,0,126000.0,Working,Higher education,Married,House / apartment,Accountants,2,49,9,0
F,N,Y,0,67500.0,Working,Secondary / secondary special,Separated,Municipal apartment,Accountants,1,36,2,0
M,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,49,4,0
M,Y,N,1,270000.0,Working,Incomplete higher,Married,House / apartment,Accountants,3,41,9,0
F,N,Y,0,121500.0,Commercial associate,Higher education,Single / not married,Rented apartment,Accountants,1,30,10,0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,54,0,0
F,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,29,5,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,32,0,0
M,Y,Y,2,99000.0,State servant,Secondary / secondary special,Married,With parents,Accountants,4,45,8,0
